=== Day 17 ===
compulsory | kəmˈpʌlsəri | 의무적인, 강제적인 | mandatory, required | optional | Education is compulsory. | 교육은 의무이다. | Compulsory military service. | 의무 병역.
corroborate | kəˈrɑːbəreɪt | 확증하다, 뒷받침하다 | confirm, verify | contradict | The witness corroborated the story. | 증인이 이야기를 확증했다. | Evidence corroborates the theory. | 증거가 이론을 뒷받침한다.
exemplary | ɪɡˈzɛmpləri | 모범적인, 본보기가 되는 | model, outstanding | terrible | She showed exemplary behavior. | 모범적인 행동을 보였다. | His work is exemplary. | 작업이 본보기가 된다.
indifferent | ɪnˈdɪfərənt | 무관심한, 냉담한 | apathetic, unconcerned | interested | She seems indifferent to the problem. | 문제에 무관심해 보인다. | He is indifferent to criticism. | 비판에 냉담하다.
omnipresent | ˌɑːmnɪˈprɛzənt | 어디에나 있는, 편재하는 | ubiquitous, everywhere | absent | Technology is omnipresent. | 기술이 어디에나 있다. | His influence is omnipresent. | 그의 영향력이 편재한다.
gratify | ˈɡrætɪfaɪ | 만족시키다, 기쁘게 하다 | satisfy, please | disappoint | She was gratified by the result. | 결과에 만족했다. | His success gratified his parents. | 성공이 부모를 기쁘게 했다.
consolidate | kənˈsɑːlɪdeɪt | 통합하다, 강화하다 | combine, strengthen | weaken | She consolidated her position. | 입지를 강화했다. | The companies consolidated. | 회사들이 통합되었다.
usurp | juːˈzɜːrp | 빼앗다, 탈취하다 | seize, grab | surrender | He usurped power. | 권력을 탈취했다. | She usurped the throne. | 왕좌를 빼앗았다.
recede | rɪˈsiːd | 물러나다, 줄어들다 | retreat, diminish | advance | The floodwater receded. | 홍수가 물러났다. | His hairline is receding. | 이마 선이 후퇴하고 있다.
imbue | ɪmˈbjuː | 불어넣다, 물들이다 | inspire, fill | drain | She imbued confidence in the team. | 팀에 자신감을 불어넣었다. | The painting is imbued with emotion. | 그림이 감정으로 물들어 있다.
=== Day 18 ===
discreet | dɪˈskriːt | 신중한, 조심스러운 | careful, cautious | indiscreet | She was discreet about the matter. | 그 문제에 대해 신중했다. | Be discreet with the information. | 정보를 조심히 다뤄라.
