=== Day 36 ===
loquacious | loʊˈkweɪʃəs | 수다스러운, 말이 많은 | talkative, garrulous | taciturn | She is very loquacious. | 매우 수다스럽다. | A loquacious neighbor. | 수다스러운 이웃.
exiguous | ɪɡˈzɪɡjuəs | 극소의, 빈약한 | meager, scanty | abundant | An exiguous salary. | 빈약한 급여. | Exiguous resources. | 극소의 자원.
calumny | ˈkæləmni | 중상, 비방 | slander, defamation | praise | She was a victim of calumny. | 중상의 피해자였다. | The calumny damaged his reputation. | 비방이 명성을 손상시켰다.
propinquity | proʊˈpɪŋkwɪti | 가까움, 근접 | nearness, proximity | distance | The propinquity of the two countries. | 두 나라의 근접성. | Propinquity leads to friendship. | 가까움이 우정으로 이어진다.
lugubrious | luːˈɡuːbriəs | 슬픈, 우울한 | mournful, melancholy | cheerful | He sang in a lugubrious tone. | 우울한 어조로 노래했다. | A lugubrious expression. | 슬픈 표정.
sanguine | ˈsæŋɡwɪn | 낙관적인, 자신 있는 | optimistic, hopeful | pessimistic | She is sanguine about the outcome. | 결과에 낙관적이다. | A sanguine outlook. | 낙관적 전망.
quixotic | kwɪkˈsɑːtɪk | 비현실적인, 이상주의적인 | idealistic, impractical | realistic | A quixotic quest. | 비현실적인 탐구. | His quixotic plans. | 이상주의적 계획.
harangue | həˈræŋ | 열변, 장광설; 열변을 토하다 | tirade, lecture | - | She delivered a long harangue. | 긴 열변을 토했다. | He harangued the crowd. | 군중에게 장광설을 했다.
pusillanimous | ˌpjuːsɪˈlænɪməs | 비겁한, 소심한 | cowardly, timid | brave | A pusillanimous leader. | 비겁한 지도자. | His pusillanimous behavior. | 소심한 행동.
sycophantic | ˌsɪkəˈfæntɪk | 아첨하는, 알랑거리는 | flattering, servile | honest | His sycophantic praise. | 아첨하는 칭찬. | Sycophantic advisors. | 아첨하는 보좌관.
=== Day 37 ===
capricious | kəˈprɪʃəs | 변덕스러운, 변화무쌍한 | fickle, unpredictable | steady | The weather is capricious. | 날씨가 변덕스럽다. | A capricious boss. | 변덕스러운 상사.
